,index,over,batter,bowler,non_striker,runs,wickets,extras,review,batter_runs,extras_runs,total_runs,player_out,wicket_type,wides,legbyes,byes,no_ball,fielders_involved_in_wicket
0,0,1.0,FH Allen,HH Pandya,DP Conway,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
1,1,1.0,DP Conway,HH Pandya,FH Allen,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
2,2,1.0,DP Conway,HH Pandya,FH Allen,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
3,3,1.0,DP Conway,HH Pandya,FH Allen,"{'batter': 4, 'extras': 0, 'total': 4}",,,,4,0,4,0,0,0,0,0,0,0
4,4,1.0,DP Conway,HH Pandya,FH Allen,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
5,5,1.0,FH Allen,HH Pandya,DP Conway,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
6,6,2.0,DP Conway,Washington Sundar,FH Allen,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
7,7,2.0,DP Conway,Washington Sundar,FH Allen,"{'batter': 2, 'extras': 0, 'total': 2}",,,,2,0,2,0,0,0,0,0,0,0
8,8,2.0,DP Conway,Washington Sundar,FH Allen,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
9,9,2.0,DP Conway,Washington Sundar,FH Allen,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
10,10,2.0,DP Conway,Washington Sundar,FH Allen,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
11,11,2.0,DP Conway,Washington Sundar,FH Allen,"{'batter': 2, 'extras': 0, 'total': 2}",,,,2,0,2,0,0,0,0,0,0,0
12,12,3.0,FH Allen,HH Pandya,DP Conway,"{'batter': 4, 'extras': 0, 'total': 4}",,,,4,0,4,0,0,0,0,0,0,0
13,13,3.0,FH Allen,HH Pandya,DP Conway,"{'batter': 4, 'extras': 0, 'total': 4}",,,,4,0,4,0,0,0,0,0,0,0
14,14,3.0,FH Allen,HH Pandya,DP Conway,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
15,15,3.0,DP Conway,HH Pandya,FH Allen,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
16,16,3.0,FH Allen,HH Pandya,DP Conway,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
17,17,3.0,FH Allen,HH Pandya,DP Conway,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
18,18,4.0,FH Allen,YS Chahal,DP Conway,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
19,19,4.0,FH Allen,YS Chahal,DP Conway,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
20,20,4.0,FH Allen,YS Chahal,DP Conway,"{'batter': 0, 'extras': 0, 'total': 0}","[{'player_out': 'FH Allen', 'kind': 'bowled'}]",,,0,0,0,FH Allen,bowled,0,0,0,0,0
21,21,4.0,MS Chapman,YS Chahal,DP Conway,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
22,22,4.0,MS Chapman,YS Chahal,DP Conway,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
23,23,4.0,MS Chapman,YS Chahal,DP Conway,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
24,24,5.0,DP Conway,Washington Sundar,MS Chapman,"{'batter': 0, 'extras': 0, 'total': 0}",,,,0,0,0,0,0,0,0,0,0,0
25,25,5.0,DP Conway,Washington Sundar,MS Chapman,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
26,26,5.0,MS Chapman,Washington Sundar,DP Conway,"{'batter': 1, 'extras': 0, 'total': 1}",,,,1,0,1,0,0,0,0,0,0,0
27,27,5.0,DP Conway,Washington Sundar,MS Chapman,"{'batter': 0, 'extras': 5, 'total': 5}",,{'wides': 5},,0,5,5,0,0,5,0,0,0,0
28,28,5.0,DP Conway,Washington Sundar,MS Chapman,"{'batter': 0, 'extras': 0, 'total': 0}","[{'player_out': 'DP Conway', 'fielders': [{'name': 'Ishan Kishan'}], 'kind': 'caught'}]",,"{'by': 'New Zealand', 'umpire': 'Nitin Menon', 'batter': 'DP Conway', 'decision': 'struck down'}",0,0,0,DP Conway,caught,0,0,0,0,Ishan Kishan
